sõna,sihtsünohulk,suhtesoovitused,sihtsünohulga definitsioon,suhtega seotud soovitused
SOBIMA,jätkuma.v.02,"{""Synset('võrdne olema.v.01')""}","küllaldaselt olemas olema küllalt olema piisama, jätkuma, küllalt olema (EKSS)",set()
SOE,lõõsk.n.01,"{""Synset('kuumus.n.01')""}",suur kuumus,set()
SOENG,krunn.n.01,"{""Synset('pats.n.02')""}",pealaele v. kuklasse kokkukeeratud juuksed v. juuksepalmik.,set()
SOLDAT,jääger.n.01,"{""Synset('jalaväelane.n.01')""}","motojalaväelase nimetus mõnes riigis (nt Soomes, Saksamaal)",set()
SOO,siirdesoo.n.01,"{""Synset('raba.n.01')""}",madal- ja kõrgsoo vaheaste (EKSS),set()
SOO,kõdusoo.n.01,"{""Synset('siirdesoo.n.01')""}","kuivendatud soo, mis on kujunenud madal- või siirdesoodest pikaajalise kuivendamise tulemusel",set()
SOOL,kaltsiumkarbonaat.n.01,"{""Synset('karbonaat.n.01')""}","kaltsiumi ja süsihappe sool (looduses peamiselt lubjakivina, dolomiidina, marmorina)",set()
SOOL,ammooniumkarbonaat.n.01,"{""Synset('karbonaat.n.01')""}","teat. kergitusaine, nn. põdrasarvesool",set()
SOOL,kaaliumkarbonaat.n.01,"{""Synset('karbonaat.n.01')""}","kaaliumi ja süsihappe sool, potas",set()
SOOL,soolahelbed.n.01,"{""Synset('meresool.n.01')""}","õrn meresool, mis on töödeldud õhukesteks helvesteks",set()
SOOL,käärsool.n.01,"{""Synset('jämesool.n.01')""}",jämesoole keskmine kääruline ja sopiline osa (colon) (EKSS),"{""Synset('jämesool.n.01')""}"
SOOL,niudesool.n.01,"{""Synset('peensool.n.01')""}",peensoole lõpposa,"{""Synset('peensool.n.01')""}"
SOOL,peensool.n.01,"{""Synset('jämesool.n.01')""}",mao ja jämesoole vaheline peenem soole osa,set()
SOOL,kaksteistsõrmik.n.01,"{""Synset('peensool.n.01')""}",peensoole algusosa (EKSS),"{""Synset('peensool.n.01')""}"
SOORITAMA,lodistama.v.01,"{""Synset('tegema.v.06')""}","lodinat tekitama, lodisema panema; midagi lodinal tegema (EKSS)",set()
SOORITAMA,looma.v.02,"{""Synset('tegema.v.06')""}","midagi (kunsti)loomingulist tekitama, millegi tekkimise, toimumise v. olemasolu põhjuseks olema",set()
SOORITAMA,viskama.v.05,"{""Synset('liikuma.v.02')"", ""Synset('liikuma.v.03')"", ""Synset('käima.v.25')"", ""Synset('mängima.v.01')""}","hüplikult liikuma, jõnksu sisse tegema; (heliplaadi kohta:) nõela v. laserikiirt mõnelt plaadirajalt risti üle libistama, nii et plaat mängib hüplikult (EKSS)",set()
SOORITAMA,objektiveerima.v.01,"{""Synset('andma.v.10')""}","objektiivset kuju andma, objektiivsele uurimisele kättesaadavaks tegema (EKSS)",set()
SOORITAMA,taguma.v.05,"{""Synset('andma.v.10')""}","lööke andes v. sellelaadsete liigutustega, ka hoogsalt, intensiivselt midagi tegema (EKSS)",set()
SOORITAMA,mängitama.v.01,"{""Synset('mängima.v.01')""}","mängima panema, mängida laskma; mängitsema, kedagi v. midagi mänglevalt kohtlema",set()
SOORITAMA,peksma.v.02,"{""Synset('andma.v.10')""}","lööke, hoope nuheldes jagama, peksa andma",set()
SOORITAMA,punguma.v.01,"{""Synset('kasvatama.v.02')""}","punga minema, pungi kasvatama (EKSS)",set()
SOORITAMA,vahetama.v.03,"{""Synset('andma.v.10')""}","midagi (v. kedagi) omanduses, valduses olevat teisele andma ja samalaadset v. midagi muud asemele saama (EKSS)",set()
SOORITAMA,siksakitama.v.01,"{""Synset('liikuma.v.02')"", ""Synset('liikuma.v.03')"", ""Synset('käima.v.25')""}",siksakke tegema; siksakis liikuma (EKSS),set()
SOORITAMA,virvendama.v.01,"{""Synset('liikuma.v.02')"", ""Synset('liikuma.v.03')"", ""Synset('käima.v.25')""}","kiirelt, kergelt värisedes liikuma; seetõttu ebaühtlaselt helkima v. ebamääraselt paistma (EKSS)",set()
SOORITAMINE,broneering.n.01,"{""Synset('reserveerimine.n.01')""}","kinni panemine, reserveerimine; seda tõendav dokument (kõnekeelne)",set()
SOORITAMINE,realisatsioon.n.01,"{""Synset('teisendamine.n.03')""}","täide viimine, teostamine, tegelikuks muutmine",set()
SOORITAMINE,reserveerimine.n.01,"{""Synset('tellimine.n.01')""}",kinni panemine; varuks hoidmine v. jätmine (EKSS),set()
SOORITAMINE,allakirjutamine.n.01,"{""Synset('tellimine.n.01')"", ""Synset('reserveerimine.n.01')""}","käibelelastava väärtpaberi ettetellimine, aktsia märkimine (EKSS)",set()
SOORITAMINE,ülevõtmine.n.01,"{""Synset('võtmine.n.01')"", ""Synset('võtmine.n.02')""}",,set()
SOORITAMINE,tellimine.n.01,"{""Synset('valmistamine.n.01')""}","(tasu eest) millegi tegemise, valmistamise v. sooritamise laskmine; mingi teenuse osutamist, millegi hankimist, kohaletoomist v. -saatmist taotlema (EKSS)",set()
SOOV,ambitsioon.n.01,"{""Synset('taotlus.n.01')""}","auahne taotlus, soov midagi saavutada",set()
SOOVIMA,ootama.v.01,"{""Synset('igatsema.v.01')""}","midagi eeldama, igatsema, soovima või kartma, soovitu täideminekut uskuma",set()
SOOVIMA,lootma.v.03,"{""Synset('ootama.v.01')""}","midagi väga soovima, selle täideminekut uskuma ja ootama",set()
SOOVIMA,sihtima.v.02,"{""Synset('taotlema.v.02')""}","mingit sihti, eesmärki taotlema, midagi sihiks võtma; kuhugi v. millegi poole püüdlema, kellekski saada tahtma (EKSS)","{""Synset('taotlema.v.02')""}"
SOOVIMA,sügelema.v.02,"{""Synset('ihaldama.v.01')""}","midagi väga teha tahtma, tegutsemist ihaldama (EKSS)",set()
SOOVIMA,ronima.v.04,"{""Synset('trügima.v.02')""}",karjääri tegema; kuhugi trügima,set()
SORT,aretussort.n.01,"{""Synset('maasort.n.01')""}",sordiaretusel kujundatud sort (vastandina kohalikule e. maasordile) (EKSS),"{""Synset('maasort.n.01')""}"
SPORDIVÕISTLUS,eelvõistlus.n.01,"{""Synset('lõppvõistlus.n.01')""}","võistlus, kus selgitatakse lõpp-, poolfinaal- v. vahevõistlustele pääsejad (EKSS)",set()
SPORDIVÕISTLUS,jalgpallivõistlus.n.01,"{""Synset('matš.n.01')""}",võisteldakse jalgpallis,set()
SPORDIVÕISTLUS,sõpruskohtumine.n.01,"{""Synset('matš.n.01')""}",sõprusvõistlus spordis,set()
SPORDIVÕISTLUS,iluuisutamisvõistlus.n.01,"{""Synset('uisuvõistlus.n.01')""}",võistledakse iluuisutamises,set()
SPORDIVÕISTLUS,karikavõistlus.n.01,"{""Synset('turniir.n.01')""}",karikavõistluse mäng,set()
SPORDIVÕISTLUS,suusahüppevõistlus.n.01,"{""Synset('hüppevõistlus.n.01')""}",võisteldakse suusahüpetes,set()
SPORT,võistlussport.n.01,"{""Synset('massisport.n.01')""}",tegevsport (vastandatult rahvaspordile) (EKSS),"{""Synset('massisport.n.01')""}"
SPORT,laskesport.n.01,"{""Synset('laskmine.n.02')""}","täpsuslaskmine (käsitulirelvast, ka õhkrelvast) spordiharuna (EKSS)",set()
SPORT,džuudo.n.01,"{""Synset('maadlus.n.01')""}",džudžitsust arenenud jaapani rahvuslik maadlus,set()
SPORT,kergejõustik.n.01,"{""Synset('mitmevõistlus.n.01')""}","üldisem spordiala, mille alla kuuluvad jooksud, kiirkäimine, hüpped, heited ja mitmevõistlus",set()
SPORT,vibusport.n.01,"{""Synset('laskmine.n.02')""}",vibulaskmine spordina,set()
SPORT,laskmine.n.02,"{""Synset('laskesport.n.01')""}",laskesport (EKSS),set()
STIIL,prosoodia.n.01,"{""Synset('toon.n.01')""}",rõhutamise ja intonatsiooni viis kõnekeeles,set()
SUBJEKT,teenuseandja.n.01,"{""Synset('teenusetarbija.n.01')""}",võrdväärsetele teenusetarbijatele mingit teenust andvate kõigi subjektide abstraktne esitus,"{""Synset('teenusetarbija.n.01')""}"
SUGU,biseksuaalsus.n.01,"{""Synset('vastassugu.n.01')""}",ka vastassoo tunnuste olemasolu inimesel v loomal,set()
SUHKUR,demerara suhkur.n.01,"{""Synset('rafineerimata suhkur.n.01')""}",helepruun rafineerimata toorsuhkur,set()
SUHKUR,pärlsuhkur.n.01,"{""Synset('tükksuhkur.n.01')""}",tükksuhkru valmistamisel tekkinud purustatud jääk,set()
SUHTLEMINE,kõneakt.n.01,"{""Synset('helistamine.n.03')"", ""Synset('jutt.n.01')""}",kõne (keele) kasutus mingi eesmärgi saavutamiseks,set()
SUHTLEMINE,mittenõustumine.n.01,"{""Synset('väide.n.01')"", ""Synset('nõustumine.n.01')""}","partneri seisukohaga, väitega vms mitte nõusse jäämine","{""Synset('nõustumine.n.01')""}"
SUHTLEMINE,biokommunikatsioon.n.01,"{""Synset('jutt.n.01')""}","kommunikatsioon organismide vahel või organismi sees, kus vähemalt üks kommunikatsioonis osaleja ei kasuta keelt",set()
SUHTLEMINE,rääkimine.n.01,"{""Synset('ütlemine.n.02')""}",arusaadavate lausungite ütlemine,set()
SUHTLEMINE,nõustumine.n.01,"{""Synset('väide.n.01')""}","partneri seisukohaga, väitega vms nõusse jäämine",set()
SUHTLUS,daktüloloogia.n.01,"{""Synset('keel.n.01')"", ""Synset('keel.n.03')""}",kurttummadele keele kirjapildi edasiandmine käe ja selle sõrmede asendite varal,set()
SUHTLUS,keel.n.03,"{""Synset('sümbol.n.01')""}",häälikuid v. kokkuleppelisi sümboleid kasutav süstemaatiline suhtlusvahend,set()
SUHTLUS,tõlge.n.01,"{""Synset('keel.n.01')"", ""Synset('keel.n.03')""}",ühest keelest teise keelde tõlkimine,set()
SUHTLUS,väljendusstiil.n.01,"{""Synset('sümbol.n.01')"", ""Synset('signaal.n.01')"", ""Synset('märk.n.08')""}",suhtlussituatsioonile ja -eesmärgile vastav keelekasutus,set()
SUHTLUS,signaal.n.01,"{""Synset('sõnum.n.01')"", ""Synset('teade.n.02')""}","mingi sõnumi edasi ANDMINE (kehaosaga, heliga, valgusega vms.)",set()
SUHTLUS,sõnum.n.01,"{""Synset('keel.n.01')"", ""Synset('kirjasõna.n.01')""}","see, millest suheldakse v. mida edastatakse see, mida sisaldab kiri, raamat, kõne vms.; see, mida käsitletakse, kujutatakse v. millest räägitakse, kirjutatakse millegi olemus (EKSS)",set()
SUHTLUS,intonatsioon.n.01,"{""Synset('keel.n.01')""}",kõne põhitooni kõrguse muutumine lauses (EKSS),set()
SUHTLUS,teade.n.02,"{""Synset('signaal.n.01')""}","see,  mida suhtluses edastatakse kirjutatud, kõneldud v. signaalide kujul",set()
SUHTUMA,arvestama.v.01,"{""Synset('võtma.v.16')""}",kellelegi v. millelegi lootma; millekski valmis olema,set()
SUHTUMA,tõrjuma.v.05,"{""Synset('arvestama.v.01')""}","kellessegi halvustavalt suhtuma ja temaga mitte arvestama, teda vältima, suhtlusringist välja jätma (EKSS)",set()
SUPP,rassolnik.n.01,"{""Synset('kalasupp.n.01')""}",liha- v. kalasupp hapukurgilõikudega,set()
SURM,hällisurm.n.01,"{""Synset('äkksurm.n.01')""}",imiku äkksurma sündroom on varasemalt terve imiku äkiline ja ootamatu surm,set()
SUURUS,maht.n.01,"{""Synset('pind.n.05')"", ""Synset('ruumala.n.01')""}",(ruumala- v. mahuühikutes),"{""Synset('ruumala.n.01')""}"
SUURUS,pikkus.n.02,"{""Synset('ulatus.n.01')""}",kellegi v. millegi suurim ulatus püst- v. rõhtsuunas,set()
SUURUS,ruumala.n.01,"{""Synset('pind.n.05')"", ""Synset('pikkus.n.02')""}","kehaga seoses olev positiivne reaalarv, mis näitab, mitu korda mahub kehasse kuup, mille serva pikkus on 1 millegi ruumala kuupühikutes",set()
SUURUS,ulatus.n.01,"{""Synset('pind.n.05')""}","(ruumiline) vahemaa v. ala, mida miski hõlmab v. milleni miski ulatub",set()
SUURUS,ümbermõõt.n.01,"{""Synset('mõõde.n.01')"", ""Synset('pikkus.n.02')""}",tasandilise kujundi piirava kinnise joone pikkus,set()
SUUTMA,jõudma.v.01,"{""Synset('jaksama.v.01')""}","vaimselt v. moraalselt jaksama, suutma (EKSS)",set()
SUUTMA,mahtima.v.01,"{""Synset('jõudma.v.01')"", ""Synset('jaksama.v.01')""}","mahti olema v. saama, jõudma; maldama, läbema (EKSS)",set()
SÕDIMA,rüselema.v.02,"{""Synset('kiskuma.v.06')""}","maadlema, rammu katsuma; sülitsi kaklema",set()
SÕIDUK,raudteesõiduk.n.01,"{""Synset('jalgratas.n.01')""}","ratastega liikumisvahend, mis on võimeline sõitma raudteel",set()
SÕIDUK,mootorsõiduk.n.01,"{""Synset('jalgratas.n.01')""}",ratastega iseliikuv liiklusvahend,set()
SÕIDUK,segway.n.01,"{""Synset('jalgratas.n.01')""}","elektrooniline kaherattaline tõukeratta moodi sõiduk, kuid rattad asetsevad üksteise kõrval, püstiasendi säilitab tänu pardakompuutrile ja güroskoopanduritele",set()
SÕIDUK,õhusõiduk.n.01,"{""Synset('mootorsõiduk.n.01')""}","sõiduk, mis suudab lennata",set()
SÕIDUK,ajamasin.n.01,"{""Synset('mootorsõiduk.n.01')""}",(fantastikas:) ajas rändamist võimaldav imemasin,set()
SÕIDUK,käula.n.01,"{""Synset('laev.n.02')""}","(väiksem, viletsam) laev, alus, paat v. auto",set()
SÕIDUK,ekspress.n.02,"{""Synset('laev.n.02')""}","eriti kiire, ainult suuremates keskustes peatuv rong, buss v. laev",set()
SÕIDUK,käru.n.01,"{""Synset('jalgratas.n.01')""}",veetav v. eeslükatav ühe v. mitme rattaga väike vankrike,set()
SÕJALAEV,allveelaevahävitaja.n.01,"{""Synset('hävitaja.n.02')"", ""Synset('allveelaev.n.01')""}",sõjalaev allveelaevade otsimiseks ja hävitamiseks,set()
SÕJALAEV,ristleja.n.01,"{""Synset('sõjaväetranspordilaev.n.01')""}","kiirekäiguline sõjalaev merelahingute pidamiseks, vaenlase transpordilaevade hävitamiseks, tulelöökide andmiseks rannikule, miinitõkete panekuks vms (EKSS)",set()
SÕJALAEV,miiniristleja.n.02,"{""Synset('ristleja.n.01')""}","torpeedode ja suurtükkidega varustatud keskmise suurusega sõjalaev Venemaal 19. saj lõpul, mis oli mõeldud vastase torpeedopaatidega võitlemiseks",set()
SÕJALAEV,hävitaja.n.02,"{""Synset('ristleja.n.01')""}","sõjalaev võitluseks allvee- ja pealveelaevadega, valveteenistuseks, luureks, konvoide ning suurte sõjalaevade kaitseks ja tulelöökide andmiseks rannikule",set()
SÕJALAEV,lennukikandja.n.01,"{""Synset('ujuvbaas.n.01')""}","lennukite baaslaev, mil on angaarid, starditee ja katapult (EKSS)",set()
SÕJALAEV,fregatt.n.04,"{""Synset('hävitaja.n.02')"", ""Synset('ristleja.n.01')""}","USA sõjalaev, mis on suurem kui hävitaja ja väiksem kui ristleja",set()
SÕJALAEV,reider.n.01,"{""Synset('ristleja.n.01')"", ""Synset('lahingulaev.n.01')""}","avamerel tegutsev lahingulaev v ristleja, mille ülesandeks on vastase kaubalaevade hävitamine (EKSS)",set()
SÕLM,jooksusõlm.n.02,"{""Synset('aas.n.02')""}",tõmbamisel kergesti lahtitulev sõlm (EKSS),set()
SÕLM,surmasõlm.n.01,"{""Synset('aas.n.02')""}","silmus, mis ei jookse kinni",set()
SÕLM,kärpimise silmus.n.01,"{""Synset('aas.n.02')""}",sõlm nööri või köie lühendamiseks,set()
SÕLM,umbsõlm.n.01,"{""Synset('palgisõlm.n.01')"", ""Synset('jooksusõlm.n.02')""}",raskesti lahti harutatav sõlm (näit. vastandatuna jooksusõlmele) (EKSS),"{""Synset('jooksusõlm.n.02')""}"
SÕLM,seasõrg.n.02,"{""Synset('aas.n.02')""}",teat. kahe silmuse põimimisel saadud sõlm (EKSS),set()
SÕLTUVUS,töönarkomaania.n.01,"{""Synset('narkomaania.n.01')""}",,set()
SÕNA,historism.n.01,"{""Synset('mõiste.n.01')""}","möödunud aega kuuluvat mõistet märkiv sõna, kusjuures nüüdiskeeles ei ole teist, uuemat sõna selle mõiste tähistamiseks",set()
SÕNA,designaator.n.01,"{""Synset('mõiste.n.01')"", ""Synset('oskussõna.n.01')""}","termin, mis tähistab",set()
SÕNASTAMA,perifraseerima.v.01,"{""Synset('fraseerima.v.01')""}","perifraasi(de) abil väljendama, ümber ütlema.",set()
SÕNASTAMA,parafraasima.v.01,"{""Synset('fraseerima.v.01')""}",parafraasina esitama.,"{""Synset('fraseerima.v.01')""}"
SÕNUM,raadioteade.n.01,"{""Synset('kuulutus.n.01')""}",raadio kaudu edastatud sõnum v. teadaanne (EKSS),set()
SÕNUM,kõnepost.n.01,"{""Synset('post.n.01')""}",kõnesõnumite salvestus telefonisüsteemis (EKSS),set()
SÕNUM,kuulutus.n.01,"{""Synset('informatsioon.n.01')""}",avalikult välja pandud v. ajakirjanduses avaldatud kirjalik info millegi kohta,set()
SÄRA,gloriool.n.01,"{""Synset('nimbus.n.02')""}","särapärg, aupaiste, pühapaiste antiikkunstis, ka idamaade ja india kunstis","{""Synset('nimbus.n.02')""}"
SÖÖMA,limpsima.v.02,"{""Synset('limpsima.v.01')""}","korduvalt (keelega) suhu haarama; lakkudes sööma; tasapisi, vähehaaval jooma",set()
SÜMPTOM,kipitus.n.01,"{""Synset('valu.n.01')""}",kerge valu- v. torkimistunne (EKSS),set()
SÜMPTOM,kaelajäikus.n.01,"{""Synset('kramp.n.01')""}","kaelalihaste pikaajalise spasmi seisund, mis võib olla ajukelmepõletiku tunnus",set()
SÜMPTOM,lihasnõrkus.n.01,"{""Synset('asteenia.n.01')"", ""Synset('nõrkus.n.02')""}",,set()
SÜSI,antratsiit.n.01,"{""Synset('kivisüsi.n.01')""}",väga kõva läikivmust süsinikurikkaim kivisüsi,set()
SÜSTEEM,raadio.n.01,"{""Synset('side.n.05')""}",meetod informatsiooni juhtmeteta edastamiseks ja vastuvõtmiseks raadiolainete abil,"{""Synset('side.n.05')""}"
SÜSTEEM,distsipliin.n.01,"{""Synset('kord.n.02')""}",kindlaksmääratud kord,set()
SÜSTEEM,võrgustik.n.01,"{""Synset('võrk.n.02')""}",omavahel ühendatud võrkude kogum,set()
SÜSTEEM,kompositsioon.n.04,"{""Synset('struktuur.n.02')""}",teose ülesehitus (EKSS),set()
SÜÜTAMA,vihastama.v.01,"{""Synset('ajama.v.06')""}","kelleski viha tekitama, viha tunnet esile kutsuma",set()
SÜÜTAMA,šokeerima.v.01,"{""Synset('mõjustama.v.02')""}","meeli, tundeid mõjutama",set()
TAEVAKEHA,komeet.n.01,"{""Synset('täht.n.03')""}",ümber Päikese tiirlev tahkest tuumast ja hõredast udukogutaolisest sabast koosnev taevakeha,set()
TAEVAKEHA,planeet.n.01,"{""Synset('täht.n.03')""}",Päikese ümber tiirlev suur gaasilise ümbrisega (v. atmosfääriga) taevakeha,set()
TAEVAKEHA,kuusulane.n.01,"{""Synset('planeet.n.01')"", ""Synset('täht.n.03')""}","planeet või ekliptika vöös olev hele täht, mis vaatluse ajal juhtub olema Kuu kui Peremehe lähedal",set()
TAIM,tubakas.n.02,"{""Synset('kultuur.n.02')""}","näärmekarvane ja iseloomuliku lõhnaga peam. Kesk- ja Lõuna-Ameerikas kasvav rohkesti nikotiini sisaldavate lehtedega rohttaim, mida viljeldakse tehnilise kultuurina ka jahedamas kliimavöötmes (EKSS)",set()
TAIM,kultuur.n.02,"{""Synset('kultuurtaim.n.01')""}","viljeldav taimeliik, eriti kui seda vaadeldakse kasutamisviisi, kasvatamisnõuete vm. poolest teiste kultuurtaimedega ühte rühma kuuluvana (EKSS)","{""Synset('kultuurtaim.n.01')""}"
TAIM,segetaaltaim.n.01,"{""Synset('kultuurtaim.n.01')""}",Iidsest ajast põllul koos kultuurtaimedega kasvanud umbrohud,set()
TAIM,aiataim.n.01,"{""Synset('kultuurtaim.n.01')""}",aias kasvatatav kultuurtaim (EKSS),set()
TAIM,kultuurtaim.n.01,"{""Synset('kultuur.n.02')""}",järjekindlalt kultuuris kasvatatav (ja edasiaretatav) taim,"{""Synset('kultuur.n.02')""}"
TAIM,aniis.n.01,"{""Synset('ravimtaim.n.01')""}",Väike-Aasia päritoluga maitseaine- ning ravimtaim (Anisum vulgare),"{""Synset('ravimtaim.n.01')""}"
TAIM,õlitaim.n.01,"{""Synset('kultuurtaim.n.01')""}",taimeõli saamiseks kasvatatav kultuurtaim (EKSS),set()
TAIM,peremeestaim.n.01,"{""Synset('parasiittaim.n.01')""}","taim, mille sees v. peal parasiteerivad nugitaimed v. -loomad (EKSS)","{""Synset('parasiittaim.n.01')""}"
TAKISTUS,barjäär.n.01,"{""Synset('võre.n.01')""}","tõkestav, eraldav tara; võre, poolsein, madalavõitu vahesein vms.",set()
TAKISTUS,liittõke.n.01,"{""Synset('lõhketõke.n.01')""}","lõhketõkke (miinivälja) ja mittelõhkevate tõkete (traataed, vaitõke vms) kombinatsioon",set()
TALDRIK,desserttaldrik.n.01,"{""Synset('praetaldrik.n.01')""}",praetaldrikust väiksem taldrik külm- v. magusroa söömiseks,set()
TALU,asunikutalu.n.01,"{""Synset('uudistalu.n.01')""}",asuniku rajatud uudistalu (EKSS),set()
TAMM,raudteetamm.n.01,"{""Synset('teetamm.n.01')""}",,set()
TARVITSEMA,eeldama.v.01,"{""Synset('nõudma.v.03')""}","eeltingimusena millegi olemasolu vajama, eeldusena nõudma v. arvestama",set()
TARVITSEMA,nõudma.v.03,"{""Synset('pidama.v.05')"", ""Synset('pidama.v.01')"", ""Synset('pidama.v.07')""}","tungivalt, vältimatult vajalikuks pidama",set()
TARVITSEMA,vaja minema.v.01,"{""Synset('kuluma.v.03')""}",,set()
TASKU,kaugas.n.01,"{""Synset('põuetasku.n.01')""}",meestesärgi suur põuetasku,set()
TASS,piaal.n.01,"{""Synset('teetass.n.01')""}",lai kõrvata teetass Kesk-Aasia rahvastel,set()
TASU,autoritasu.n.01,"{""Synset('honorar.n.01')"", ""Synset('honorar.n.02')""}","tasu sellele, kes omab patenti või avaldamisõigust oma omandile",set()
TEADLANE,füüsik.n.01,"{""Synset('eriteadlane.n.01')""}",füüsika eriteadlane,set()
TEADLANE,ornitoloog.n.01,"{""Synset('eriteadlane.n.01')""}",ornitoloogia eriteadlane,set()
TEADLANE,geomorfoloog.n.01,"{""Synset('eriteadlane.n.01')""}",geomorfoloogia eriteadlane(EKSS),set()
TEADLANE,meteoroloog.n.01,"{""Synset('füüsik.n.01')""}",Maa atmosfääri uuriv geofüüsik,set()
TEADLANE,egüptoloog.n.01,"{""Synset('eriteadlane.n.01')""}",egüptoloogia eriteadlane (EKSS),set()
TEADLANE,põllumajandusteadlane.n.01,"{""Synset('majandusteadlane.n.01')""}",põllumajandusteaduse spetsialist (EKSS),set()
TEADLANE,vulkanoloog.n.01,"{""Synset('eriteadlane.n.01')""}",vulkanoloogia eriteadlane,set()
TEADLANE,folklorist.n.01,"{""Synset('eriteadlane.n.01')""}",eriteadlane rahvaluule alal,set()
TEADLANE,ajaloolane.n.01,"{""Synset('eriteadlane.n.01')""}",ajaloo eriteadlane,set()
TEADLANE,infotehnoloog.n.01,"{""Synset('tehnoloog.n.01')""}",,set()
TEADLANE,zooloog.n.01,"{""Synset('eriteadlane.n.01')""}",zooloogia eriteadlane (EKSS),set()
TEADLANE,patopsühholoog.n.01,"{""Synset('psühholoog.n.01')""}",tegeleb psüühikahäretega,set()
TEADLANE,psühholoog.n.01,"{""Synset('eriteadlane.n.01')""}",psühholoogia eriteadlane v. vastava hariduse saanud asjatundja (ka ametinimetusena),set()
TEADLANE,histoloog.n.01,"{""Synset('eriteadlane.n.01')""}",histoloogia eriteadlane (EKSS),set()
TEADLANE,matemaatik.n.01,"{""Synset('eriteadlane.n.01')""}",matemaatika eriteadlane,set()
TEADLANE,farmakoloog.n.01,"{""Synset('eriteadlane.n.01')""}",farmakoloogia eriteadlane (EKSS),set()
TEADLANE,mükoloog.n.01,"{""Synset('eriteadlane.n.01')""}",mükoloogia eriteadlane,set()
TEADLANE,algebraist.n.01,"{""Synset('eriteadlane.n.01')""}",algebra eriteadlane,set()
TEADLANE,neuropatoloog.n.01,"{""Synset('patoloog.n.01')"", ""Synset('eriteadlane.n.01')""}",neuropatoloogia eriteadlane (EKSS),set()
TEADLANE,antropoloog.n.01,"{""Synset('eriteadlane.n.01')""}",antropoloogia eriteadlane (EKSS),set()
TEADLANE,assürioloog.n.01,"{""Synset('eriteadlane.n.01')""}",assürioloogia eriteadlane (EKSS),set()
TEADLANE,kosmetoloog.n.01,"{""Synset('eriteadlane.n.01')""}",kosmetoloogia eriteadlane (EKSS),set()
TEADLANE,glatsioloog.n.01,"{""Synset('eriteadlane.n.01')""}",glatsioloogia eriteadlane (EKSS),set()
TEADLANE,kriminoloog.n.01,"{""Synset('eriteadlane.n.01')""}",kriminoloogia eriteadlane (EKSS),set()
TEADLANE,esteetik.n.01,"{""Synset('eriteadlane.n.01')""}",esteetika eriteadlane,set()
TEADLANE,infoteadlane.n.01,"{""Synset('eriteadlane.n.01')""}",infoteaduse eriteadlane,set()
TEADLANE,molekulaarbioloog.n.01,"{""Synset('bioloog.n.01')""}",,set()
TEADLANE,arheoloog.n.01,"{""Synset('eriteadlane.n.01')""}",ühiskonna varasemat minevikku käsitleva ajalooteaduse eriteadlane,set()
TEADLANE,keemik.n.01,"{""Synset('eriteadlane.n.01')""}",keemia eriteadlane,set()
TEADLANE,androloog.n.01,"{""Synset('eriteadlane.n.01')""}",androloogia eriteadlane (EKSS),set()
TEADLANE,dendroloog.n.01,"{""Synset('eriteadlane.n.01')""}",dendroloogia eriteadlane (EKSS),set()
TEADLANE,fenoloog.n.01,"{""Synset('eriteadlane.n.01')""}",fenoloogia eriteadlane (EKSS),set()
TEADLANE,foneetik.n.01,"{""Synset('eriteadlane.n.01')""}",foneetika eriteadlane,set()
TEADLANE,genealoog.n.01,"{""Synset('eriteadlane.n.01')""}",genealoogia eriteadlane (EKSS),set()
TEADLANE,sotsiaalteadlane.n.01,"{""Synset('eriteadlane.n.01')""}",sotsiaalteaduse eriteadlane,set()
TEADLANE,fennougrist.n.01,"{""Synset('eriteadlane.n.01')""}",eriteadlane mõnel fennougristika alal,set()
TEADLANE,klimatoloog.n.01,"{""Synset('eriteadlane.n.01')""}",klimatoloogia eriteadlane (EKSS),set()
TEADLANE,energeetik.n.01,"{""Synset('eriteadlane.n.01')""}",energeetika eriteadlane,set()
TEADLANE,tibetoloog.n.01,"{""Synset('eriteadlane.n.01')""}",tibetoloogia eriteadlane,set()
TEADLANE,psühhopatoloog.n.01,"{""Synset('patoloog.n.01')""}",tegeleb psüühikahäiretega,set()
TEADMINE,huvi.n.01,"{""Synset('idee.n.01')""}","tähelepanu, samuti mõtete keskendumine objektile, mida tahetakse omandada v. tundma õppida; millegi harrastamine.",set()
TEADMINE,teadmised.n.01,"{""Synset('kogemus.n.01')""}","teadmine, mis on omandatud õppimise v. kogemuse kaudu",set()
TEADMINE,vaimuvälgatus.n.01,"{""Synset('idee.n.01')""}","mingi mõtte, idee äkiline ilmumine (EKSS)",set()
TEADMINE,kaemus.n.01,"{""Synset('tajumine.n.01')""}",maailma vahetu tajumine; meeleline tunnetus,set()
TEADMINE,aimus.n.01,"{""Synset('kogemus.n.01')""}","ratsionaalsust mittekasutav intuitiivne teadmine; eelneval kogemusel põhinev (ette)aimav, vaistlik tunnetus",set()
TEADMINE,käsitus.n.01,"{""Synset('idee.n.01')""}","abstraktne v. üldine idee, mis põhineb üksikjuhtumitel v. -faktidel",set()
